address,balance
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,2427935619958155.992282301
0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,2275742362307240.120930223
0x742d35cc6634c0532925a3b844bc454e4438f44e,2006010780406661.500000001
0x53d284357ec70ce289d6d64134dfac8e511c8a3d,1378754144654378.911481302
0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,999999014703265.377777771
0xdc76cd25977e0a5ae17155770273ad58648900d3,850860641968887.01041
0xe853c56864a2ebe4576a807d26fdc4a0ada51919,801052799959724.594886
0x61edcdf5bb737adffe5043706e7c5bb1f1a56eea,795999001231140.000000001
0xf4a2eff88a408ff4c4550148151c33c93442619e,789534614784546.265689332
0x267f70f9b856de226fea5fc1b0a8e319c72ceff5,697220009273440.000000005
0x229b5c097f9b35009ca1321ad2034d4b3d5070f6,657334142686969.707175071
0xde0b295669a9fd93d5f28d9ec85e40f4cb697bae,597623360144773.018344492
0x1b3cb81e51011b549d78bf720b0d924ac763a7c2,560000000030000
0xb4cd0386d2db86f30c1a11c2b8c4f4185c1dade9,510001399304900
0x231568baa78111377f097bb087241f8379fa18f4,501767813000000
0x5861b8446a2f6e19a067874c133f04c578928727,478907291252086.020627898
0xc11d52cbb5b19c1802097e448beff8bf35942946,460000308710356.867494173
0xe92d1a43df510f82c66382592a047d288f85226f,450000019664725.437777777
0x66f820a414680b5bcda5eeca5dea238543f42054,424399564169655.945276777
0x07ee55aa48bb72dcc6e9d78256648910de513eca,407527200567627.140000001
